year	full_name	fore_name	last_name	conference	source	affiliations	afflcountries
2018	Martha L. Bulyk	Martha	Bulyk	ISMB		Harvard University	United States
2018	M. Madan Babu	Madan	Babu	ISMB		MRC Laboratory for Molecular Biology	United Kingdom
2018	Ruth Nussinov	Ruth	Nussinov	ISMB		National Cancer Institute|Tel Aviv University	United States|Israel
2019	Nikolaus Rajewsky	Nikolaus	Rajewsky	ISMB		Max-Delbrück-Centrum for Molecular Medicine in the Helmholtz Association	Germany
2019	William Noble	William	Noble	ISMB		University of Washington	United States
2019	Alexis Battle	Alexis	Battle	ISMB		Johns Hopkins University	United States
2019	Christophe Dessimoz	Christophe	Dessimoz	ISMB		Swiss Institute of Bioinformatics	Switzerland
2019	Bonnie Berger	Bonnie	Berger	ISMB		MIT	United States
2020	Xiaole Shirley Liu	Shirley	Liu	ISMB	https://www.iscb.org/ismb2020-program/keynotes	Harvard T.H. Chan School of Public Health	United States
2020	Elaine Mardis	Elaine	Mardis	ISMB	https://www.iscb.org/ismb2020-program/keynotes	The Ohio State University College of Medicine	United States
2020	Laxmi Parida	Laxmi	Parida	ISMB	https://www.iscb.org/ismb2020-program/keynotes	IBM T. J. Watson Research Center	United States
2020	Jian Peng	Jian	Peng	ISMB	https://www.iscb.org/ismb2020-program/keynotes	University of Illinois at Urbana-Champaign	United States
2020	Steven L. Salzberg	Steven	Salzberg	ISMB	https://www.iscb.org/ismb2020-program/keynotes	Johns Hopkins University	United States
1996	Minoru Kanehisa	Minoru	Kanehisa	PSB	https://psb.stanford.edu/previous/psb96/sessions.html#keynote	Kyoto University	Japan
1996	David Weininger	David	Weininger	PSB	https://psb.stanford.edu/previous/psb96/sessions.html#keynote	DAYLIGHT Chemical Information Systems	United States
1997	Irwin Kuntz	Irwin	Kuntz	PSB	http://psb.stanford.edu/psb-online/proceedings/psb97/	University of California, San Francisco	United States
1998	Gregory Petsko	Gregory	Petsko	PSB	https://psb.stanford.edu/previous/psb98/	Brandeis University	United States
1999	Steven Brenner	Steven	Brenner	PSB		University of Florida	United States
2000	Wah Chiu	Wah	Chiu	PSB		Baylor College of Medicine	United States
2001	David Haussler	David	Haussler	PSB		University of California, Santa Cruz	United States
2002	David Botstein	David	Botstein	PSB		Stanford University	United States
2002	Rebecca Eisenberg	Rebecca	Eisenberg	PSB		University of Michigan Law School	United States
2003	Marvin Cassman	Marvin	Cassman	PSB		University of California	United States
2003	Latanya Sweeney	Latanya	Sweeney	PSB		Carnegie Mellon University	United States
2004	Henry Greely	Henry	Greely	PSB		Stanford University	United States
2004	Deborah Nickerson	Deborah	Nickerson	PSB		University of Washington	United States
2005	David Eisenberg	David	Eisenberg	PSB		University of California, Los Angeles	United States
2005	Arti Rai	Arti	Rai	PSB		Duke University Law School	United States
2006	Michael Ashburner	Michael	Ashburner	PSB		University of Cambridge & EMBL - EBI	United Kingdom
2006	Eric Meslin	Eric	Meslin	PSB		Indiana University School of Medicine	United States
2007	Elizabeth Blackburn	Elizabeth	Blackburn	PSB		University of California, San Francisco	United States
2007	Marc Rotenberg	Marc	Rotenberg	PSB		Electronic Privacy Information Center	United States
2008	John Dupre	John	Dupre	PSB		University of Exeter	United Kingdom
2008	Andrew McCulloch	Andrew	McCulloch	PSB		University of California, San Diego	United States
2009	Greg Hampikian	Greg	Hampikian	PSB		Boise State University	United States
2009	Drew Endy	Drew	Endy	PSB		Stanford University	United States
2010	Stanley Nelson	Stanley	Nelson	PSB		UCLA	United States
2010	Isaac Kohane	Isaac	Kohane	PSB		Harvard Medical School	United States
2011	Vijay Pande	Vijay	Pande	PSB		Stanford University	United States
2011	Ellen Wright Clayton	Ellen	Clayton	PSB		Vanderbilt University	United States
2012	Elaine Mardis	Elaine	Mardis	PSB		Washington University School of Medicine	United States
2012	James Heywood	James	Heywood	PSB		PatientsLikeMe	United States
2013	David Ewing Duncan	David	Duncan	PSB		Author and Journalist	United States
2013	Dan Roden	Dan	Roden	PSB		Vanderbilt University	United States
2014	Atul Butte	Atul	Butte	PSB		Stanford University	United States
2014	Douglas Fridsma	Douglas	Fridsma	PSB		Office of the National Coordinator for HIT	United States
2015	David Haussler	David	Haussler	PSB		University of California, Santa Cruz and California Institute for Quantitative Biosciences	United States
2015	Lucila Ohno-Machado	Lucila	Ohno-Machado	PSB		University of California, San Diego	United States
2016	Winter Mason	Winter	Mason	PSB		Facebook	United States
2016	Nancy Cox	Nancy	Cox	PSB		Vanderbilt University	United States
2017	David Magnus	David	Magnus	PSB		Stanford University	United States
2017	Neil Risch	Neil	Risch	PSB		University of California, San Francisco and Kaiser Permanente Division of Research	United States
2018	Carlos Bustamante	Carlos	Bustamante	PSB		Stanford University	United States
2018	Jennifer Wagner	Jennifer	Wagner	PSB		Geisinger Health System	United States
2019	Russ Altman	Russ	Altman	PSB		Stanford University	United States
2019	Lawrence Hunter	Lawrence	Hunter	PSB		University of Colorado	United States
2020	Carole Goble	Carole	Goble	PSB		University of Manchester	United Kingdom
2020	Ifeoma Ajunwa	Ifeoma	Ajunwa	PSB		Cornell University	United States
1997	David Botstein	David	Botstein	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Sam Karlin	Sam	Karlin	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Martin Karplus	Martin	Karplus	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Eric Lander	Eric	Lander	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Robert Lipshutz	Robert	Lipshutz	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Jonathan King	Jonathan	King	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Richard Roberts	Richard	Roberts	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Temple Smith	Temple	Smith	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Terry Speed	Terry	Speed	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Ruben Abagyan	Ruben	Abagyan	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Charles Cantor	Charles	Cantor	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	David Cox	David	Cox	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Ron Davis	Ron	Davis	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Klaus Gubernator	Klaus	Gubernator	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Joshua Lederberg	Joshua	Lederberg	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Michael Levitt	Michael	Levitt	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	David Schwartz	David	Schwartz	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	John Yates	John	Yates	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1999	Peer Bork	Peer	Bork	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	EMBL Heidelberg	Germany
1999	Cyrus Chothia	Cyrus	Chothia	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	University of Cambridge	United Kingdom
1999	Eugene W Myers	Eugene	Myers	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	Celera Genomics	United States
1999	John Moult	John	Moult	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	University of Maryland	United States
1999	Pitor Slonimsky	Pitor	Slonimsky	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	CNRS	France
1999	Ed Southern	Ed	Southern	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	University of Oxford	United Kingdom
1999	Peter Willett	Peter	Willett	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	University of Sheffield	United Kingdom
1999	John Wooley	John	Wooley	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	Department of Energy	United States
2000	Eric Davidson	Eric	Davidson	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Caltech	United States
2000	Walter Gilbert	Walter	Gilbert	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Harvard University	United States
2000	Takashi Gojobori	Takashi	Gojobori	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	National Institute of Genetics	Japan
2000	Leroy Hood	Leroy	Hood	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	University of Washington	United States
2000	Minoru Kanehisa	Minoru	Kanehisa	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Kyoto University	Japan
2000	Hans Lehrach	Hans	Lehrach	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Max Planck Institute	Germany
2000	Yvonne Martin	Yvonne	Martin	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Abbots Laboratories	United States
2000	Yusuke Nakamura	Yusuke	Nakamura	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	University of Tokyo	Japan
2000	Svante Paabo	Svante	Paabo	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Max Planck Institute for Evolutionary Anthropology	Germany
2001	George Church	George	Church	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Harvard Medical School	United States
2001	Phillip Sharp	Phillip	Sharp	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	MIT	United States
2001	Mark Adams	Mark	Adams	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Celera	United States
2001	Roger Brent	Roger	Brent	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Molecular Sciences Institute	United States
2001	Franz Lang	Franz	Lang	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Universite de Montreal	Canada
2001	Klaus Lindpaintner	Klaus	Lindpaintner	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Roche Genetics	Switzerland
2001	Yvonne Martin	Yvonne	Martin	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Abbots Laboratories	United States
2001	Mark Ptashne	Mark	Ptashne	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Memorial Sloan Kettering Cancer Center	United States
2001	Matthias Wilm	Matthias	Wilm	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/schedule.html	European Molecular Biology Laboratory	Germany
2002	Ruben Abagyan	Ruben	Abagyan	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	The Scripps Research Institute	United States
2002	Ali H. Brivanlou	Ali	Brivanlou	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	Rockefeller University	United States
2002	Evan Eichler	Evan	Eichler	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	Case Western Reserve University	United States
2002	"Harold ""Skip"" Garner"	Harold	Garner	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	University of Texas Southwestern Medical Center at Dallas	United States
2002	David Ho	David	Ho	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	Rockefeller University	United States
